Book Name,exact_book_name,author,publish_date,ratings_count,goodreads_link
The 4 hour body,"The 4-Hour Body: An Uncommon Guide to Rapid Fat-Loss, Incredible Sex, and Becoming Superhuman",Timothy Ferriss,2000,37558,https://www.goodreads.com/book/show/7148931-the-4-hour-body?from_search=true&from_srp=true&qid=LTAwW3LKvD&rank=1
The 4-hour week,"The 4-Hour Work Week: Escape the 9-5, Live Anywhere and Join the New Rich",Timothy Ferriss,,327673,https://www.goodreads.com/book/show/9278897-the-4-hour-work-week?from_search=true&from_srp=true&qid=XcLdLnNH7r&rank=1
The 48 laws of power,The 48 Laws of Power,Robert Greene,,215296,https://www.goodreads.com/book/show/1303.The_48_Laws_of_Power?from_search=true&from_srp=true&qid=TQsOS0Lzq8&rank=1
The 5 elements of effective thinking,The 5 Elements of Effective Thinking,Edward B. Burger,2012,7993,https://www.goodreads.com/book/show/14891980-the-5-elements-of-effective-thinking?from_search=true&from_srp=true&qid=Kchft474ML&rank=1
The 5 second rule,"The 5 Second Rule: Transform Your Life, Work, and Confidence with Everyday Courage",Mel Robbins,2017,45901,https://www.goodreads.com/book/show/34189313-the-5-second-rule?from_search=true&from_srp=true&qid=QhrFu12H1s&rank=1
The 5am club,The 5am Club,Robin Sharma,2018,112784,https://www.goodreads.com/book/show/53424992-the-5am-club?from_search=true&from_srp=true&qid=f7H1SsVIMB&rank=1
The 7 habits of highly effective people,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,1989,808131,https://www.goodreads.com/book/show/36072.The_7_Habits_of_Highly_Effective_People?from_search=true&from_srp=true&qid=cuLtQVz9Tu&rank=1
The art of war,The Art of War,Sun Tzu,,557187,https://www.goodreads.com/book/show/10534.The_Art_of_War?from_search=true&from_srp=true&qid=7BHAZX20w8&rank=1
The body: a giude for occupants,The Body: A Guide for Occupants,Bill Bryson,2019,96626,https://www.goodreads.com/book/show/43582376-the-body?from_search=true&from_srp=true&qid=0qpVNnJ5MU&rank=1
The book of joy,The Book of Joy: Lasting Happiness in a Changing World,Dalai Lama XIV,2016,63075,https://www.goodreads.com/book/show/29496453-the-book-of-joy?from_search=true&from_srp=true&qid=i8O1FXhlFh&rank=1
The brain that chages itself,The Brain that Changes Itself: Stories of Personal Triumph from the Frontiers of Brain Science,Norman Doidge,2007,39779,https://www.goodreads.com/book/show/570172.The_Brain_that_Changes_Itself?from_search=true&from_srp=true&qid=58RE98Jlm1&rank=1
The Confidence Code,The Confidence Code: The Science and Art of Self-Assurance – What Women Should Know,Katty Kay,2014,16411,https://www.goodreads.com/book/show/18052969-the-confidence-code?from_search=true&from_srp=true&qid=N4eV4CLdfR&rank=1
